points_scored,plus_minus,outcome,seconds_played_per_game,made_field_goals_percent,made_three_point_field_goals_percent,made_free_throws_percent,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,NAME_x,Start_Year_x,Age,Name_Year,File_Name,TEAM,SALARY,POSITION
25.19,-3.36,24,2106.34,47.66,32.19,71.94,0.57,2.93,7.19,1.5,0.47,3.0,2.93,18.6,De'Aaron Fox,2020,23,De'Aaron Fox@@@2021,2020-2021_foxde01_regular_season_box_scores.csv,Sacramento Kings,"$28,103,550",PG
15.85,3.19,45,2159.76,46.34,38.8,87.76,0.48,3.61,9.78,2.35,0.06,2.21,2.45,17.1,Chris Paul,2010,25,Chris Paul@@@2011,2010-2011_paulch01_regular_season_box_scores.csv,LA Clippers,"$16,359,805",PG
9.85,-5.49,16,1716.16,39.47,30.69,58.9,1.22,3.67,1.58,1.21,0.31,1.48,1.55,6.7,Luc Mbah a Moute,2014,26,Luc Mbah a Moute@@@2015,2014-2015_mbahalu01_regular_season_box_scores.csv,LA Clippers,"$947,276",F
21.22,4.87,54,2221.65,42.74,38.76,81.06,0.71,4.03,6.42,2.05,0.44,2.92,2.74,17.05,Kyle Lowry,2015,29,Kyle Lowry@@@2016,2015-2016_lowryky01_regular_season_box_scores.csv,Toronto Raptors,"$12,000,000",PG
20.01,5.44,55,2059.45,48.77,43.95,83.67,0.42,3.37,2.53,0.75,0.47,1.75,1.6,13.54,Klay Thompson,2017,27,Klay Thompson@@@2018,2017-2018_thompkl01_regular_season_box_scores.csv,Golden State Warriors,"$18,988,725",SG
11.56,0.14,27,1857.03,41.54,33.58,83.08,0.89,3.89,5.45,1.02,0.36,2.05,1.12,10.38,Nicolas Batum,2017,29,Nicolas Batum@@@2018,2017-2018_batumni01_regular_season_box_scores.csv,Charlotte Hornets,"$24,000,000",PF
16.31,-0.32,26,1896.24,51.96,0.0,74.38,3.71,5.08,0.85,0.69,0.81,1.63,2.31,13.31,Nikola Pekovic,2012,23,Nikola Pekovic@@@2013,2012-2013_pekovni01_regular_season_box_scores.csv,Minnesota Timberwolves,"$12,100,000",C
4.0,-1.65,6,755.68,41.09,29.09,66.67,0.26,1.32,1.09,0.62,0.09,0.41,0.94,3.12,Courtney Lee,2018,29,Courtney Lee@@@2019,2018-2019_leeco01_regular_season_box_scores.csv,Dallas Mavericks,"$12,759,670",G
14.69,3.1,19,1840.14,45.05,43.27,88.04,0.38,3.86,3.41,1.41,0.24,2.24,2.72,10.63,Khris Middleton,2016,27,Khris Middleton@@@2017,2016-2017_middlkh01_regular_season_box_scores.csv,Milwaukee Bucks,"$1,300,000",SF
6.37,-0.01,46,933.68,53.44,0.0,63.64,1.78,2.94,0.9,0.77,0.27,0.99,2.46,5.44,DeJuan Blair,2013,25,DeJuan Blair@@@2014,2013-2014_blairde01_regular_season_box_scores.csv,Washington Wizards,"$2,000,000",C
11.4,1.47,44,1737.59,40.81,39.96,81.36,0.22,1.7,2.26,0.63,0.21,0.9,1.38,7.65,Patty Mills,2021,32,Patty Mills@@@2022,2021-2022_millspa02_regular_season_box_scores.csv,Brooklyn Nets,"$6,479,000",PG
25.58,2.43,43,2143.87,45.51,37.85,83.8,1.53,5.78,2.87,0.88,0.6,2.68,2.91,17.24,Carmelo Anthony,2010,26,Carmelo Anthony@@@2011,2010-2011_anthoca01_regular_season_box_scores.csv,New York Knicks,"$18,518,574",PF
2.0,3.0,0,315.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9,Gordon Hayward,2017,22,Gordon Hayward@@@2018,2017-2018_haywago01_regular_season_box_scores.csv,Boston Celtics,"$31,214,295",SF
